t,S,I,R
2020-03-26,4899289,525,186
2020-03-27,4899289,525,186
2020-03-28,4899132,472,396
2020-03-29,4899133,471,396
2020-03-30,4899059,472,469
2020-03-31,4899049,444,507
2020-04-01,4898959,435,606
2020-04-02,4898910,449,641
2020-04-03,4898861,498,641
2020-04-04,4898835,460,705
2020-04-05,4898835,461,704
2020-04-06,4898773,444,783
2020-04-07,4898752,465,783
2020-04-08,4898712,450,838
2020-04-09,4898680,462,858
2020-04-10,4898645,476,879
2020-04-11,4898613,482,905
2020-04-12,4898613,482,905
2020-04-13,4898579,495,926
2020-04-14,4898555,503,942
2020-04-15,4898514,531,955
2020-04-16,4898514,531,955
2020-04-17,4898502,543,955
2020-04-18,4898460,574,966
2020-04-19,4898460,574,966
2020-04-20,4898387,574,1039
2020-04-21,4898363,596,1041
2020-04-22,4898295,626,1079
2020-04-23,4898270,638,1092
2020-04-24,4898245,641,1114
2020-04-25,4898152,711,1137
2020-04-26,4898152,711,1137
2020-04-27,4898105,705,1190
2020-04-28,4898052,717,1231
2020-04-29,4898022,673,1305
2020-04-30,4897999,679,1322
2020-05-01,4897967,676,1357
2020-05-02,4897943,681,1376
2020-05-03,4897943,681,1376
2020-05-04,4897893,690,1417
2020-05-05,4897889,639,1472
2020-05-06,4897869,637,1494
2020-05-07,4897838,650,1512
2020-05-08,4897812,609,1579
2020-05-09,4897799,542,1659
2020-05-10,4897799,542,1659
2020-05-11,4897777,504,1719
2020-05-12,4897771,397,1832
2020-05-13,4897756,385,1859
2020-05-14,4897743,372,1885
2020-05-15,4897733,359,1908
2020-05-16,4897713,355,1932
2020-05-17,4897713,355,1932
2020-05-18,4897699,335,1966
2020-05-19,4897700,325,1975
2020-05-20,4897682,317,2001
2020-05-21,4897673,307,2020
2020-05-22,4897648,310,2042
2020-05-23,4897640,303,2057
2020-05-24,4897640,303,2057
2020-05-25,4897631,267,2102
2020-05-26,4897620,258,2122
2020-05-27,4897612,244,2144
2020-05-28,4897606,241,2153
2020-05-29,4897602,228,2170
2020-05-30,4897591,228,2181
2020-05-31,4897591,228,2181
2020-06-01,4897568,225,2207
2020-06-02,4897564,207,2229
2020-06-03,4897543,214,2243
2020-06-04,4897534,201,2265
2020-06-05,4897535,193,2272
2020-06-06,4897535,193,2272
2020-06-07,4897535,193,2272
2020-06-08,4897508,183,2309
2020-06-09,4897498,183,2319
2020-06-10,4897487,185,2328
2020-06-11,4897473,183,2344
2020-06-12,4897459,187,2354
2020-06-13,4897459,187,2354
2020-06-14,4897459,187,2354
2020-06-15,4897423,182,2395
2020-06-16,4897412,172,2416
2020-06-17,4897393,185,2422
2020-06-18,4897385,190,2425
2020-06-19,4897378,178,2444
2020-06-20,4897378,178,2444
2020-06-21,4897378,178,2444
2020-06-22,4897347,182,2471
2020-06-23,4897335,174,2491
2020-06-24,4897322,162,2516
2020-06-25,4897304,179,2517
2020-06-26,4897296,159,2545
2020-06-27,4897296,159,2545
2020-06-28,4897296,159,2545
2020-06-29,4897270,153,2577
2020-06-30,4897258,152,2590
2020-07-01,4897258,152,2590
2020-07-02,4897237,160,2603
2020-07-03,4897230,162,2608
2020-07-04,4897230,162,2608
2020-07-05,4897230,162,2608
2020-07-06,4897205,166,2629
2020-07-07,4897193,162,2645
2020-07-08,4897178,162,2660
2020-07-09,4897158,175,2667
2020-07-10,4897134,187,2679
2020-07-11,4897134,187,2679
2020-07-12,4897134,187,2679
2020-07-13,4897074,208,2718
2020-07-14,4897061,209,2730
2020-07-15,4897040,207,2753
2020-07-16,4897019,192,2789
2020-07-17,4896991,207,2802
2020-07-18,4896991,207,2802
2020-07-19,4896991,207,2802
2020-07-20,4896889,253,2858
2020-07-21,4896861,266,2873
2020-07-22,4896827,285,2888
2020-07-23,4896798,304,2898
2020-07-24,4896772,294,2934
2020-07-25,4896772,294,2934
2020-07-26,4896772,294,2934
2020-07-27,4896693,264,3043
2020-07-28,4896671,253,3076
2020-07-29,4896632,259,3109
2020-07-30,4896603,242,3155
2020-07-31,4896554,278,3168
2020-08-01,4896554,278,3168
2020-08-02,4896554,278,3168
2020-08-03,4896554,278,3168
2020-08-04,4896408,319,3273
2020-08-05,4896361,351,3288
2020-08-06,4896314,371,3315
2020-08-07,4896261,386,3353
2020-08-08,4896261,386,3353
2020-08-09,4896261,386,3353
2020-08-10,4896130,445,3425
2020-08-11,4896084,472,3444
2020-08-12,4896000,531,3469
2020-08-13,4895922,578,3500
2020-08-14,4895838,629,3533
2020-08-15,4895838,629,3533
2020-08-16,4895838,629,3533
2020-08-17,4895604,743,3653
2020-08-18,4895521,775,3704
2020-08-19,4895453,798,3749
2020-08-20,4895375,780,3845
2020-08-21,4895287,824,3889
2020-08-22,4895287,824,3889
2020-08-23,4895287,824,3889
2020-08-24,4895019,913,4068
2020-08-25,4894961,925,4114
2020-08-26,4894899,902,4199
2020-08-27,4894832,915,4253
2020-08-28,4894708,982,4310
2020-08-29,4894708,982,4310
2020-08-30,4894708,982,4310
2020-08-31,4894418,1116,4466
2020-09-01,4894361,1134,4505
2020-09-02,4894257,1138,4605
2020-09-03,4894169,1187,4644
2020-09-04,4894049,1245,4706
2020-09-05,4894049,1245,4706
2020-09-06,4894049,1245,4706
2020-09-07,4894049,1245,4706
2020-09-08,4893622,1400,4978
2020-09-09,4893522,1378,5100
2020-09-10,4893383,1427,5190
2020-09-11,4893251,1476,5273
2020-09-12,4893251,1476,5273
2020-09-13,4893251,1476,5273
2020-09-14,4892940,1614,5446
2020-09-15,4892843,1609,5548
2020-09-16,4892721,1633,5646
2020-09-17,4892557,1724,5719
2020-09-18,4892381,1822,5797
2020-09-19,4892381,1822,5797
2020-09-20,4892381,1822,5797
2020-09-21,4892019,2189,5792
2020-09-22,4891923,1488,6589
2020-09-23,4891832,1399,6769
2020-09-24,4891686,1397,6917
2020-09-25,4891589,1375,7036
2020-09-26,4891589,1375,7036
2020-09-27,4891589,1375,7036
2020-09-28,4891325,1329,7346
2020-09-29,4891221,1294,7485
2020-09-30,4891096,1313,7591
2020-10-01,4891015,1290,7695
2020-10-02,4890857,1330,7813
2020-10-03,4890857,1330,7813
2020-10-04,4890857,1330,7813
2020-10-05,4890503,1382,8115
2020-10-06,4890403,1413,8184
2020-10-07,4890288,1416,8296
2020-10-08,4890179,1423,8398
2020-10-09,4890060,1438,8502
2020-10-10,4890060,1438,8502
2020-10-11,4890060,1438,8502
2020-10-12,4890060,1438,8502
2020-10-13,4889516,1510,8974
2020-10-14,4889358,1530,9112
2020-10-15,4889216,1527,9257
2020-10-16,4889062,1551,9387
2020-10-17,4889062,1551,9387
2020-10-18,4889062,1551,9387
2020-10-19,4888566,1681,9753
2020-10-20,4888400,1729,9871
2020-10-21,4888199,1808,9993
2020-10-22,4887925,1961,10114
2020-10-23,4887702,2051,10247
2020-10-24,4887702,2051,10247
2020-10-25,4887702,2051,10247
2020-10-26,4886888,2378,10734
2020-10-27,4886671,2375,10954
2020-10-28,4886386,2370,11244
2020-10-29,4886153,2399,11448
2020-10-30,4885882,2448,11670
2020-10-31,4885530,2800,11670
2020-11-01,4885141,3189,11670
2020-11-02,4884768,3025,12207
2020-11-03,4884472,3098,12430
2020-11-04,4884138,3203,12659
2020-11-05,4883713,3481,12806
2020-11-06,4883126,3839,13035
2020-11-07,4882560,4405,13035
2020-11-08,4882024,4941,13035
2020-11-09,4881567,5008,13425
2020-11-10,4881045,5251,13704
2020-11-11,4880510,5786,13704
2020-11-12,4879920,5991,14089
2020-11-13,4879305,5794,14901
2020-11-14,4878651,6448,14901
2020-11-15,4877992,7107,14901
2020-11-16,4877355,6558,16087
2020-11-17,4876649,6882,16469
2020-11-18,4875898,7188,16914
2020-11-19,4875363,7431,17206
2020-11-20,4874857,7666,17477
2020-11-21,4874144,8379,17477
2020-11-22,4873518,9005,17477
2020-11-23,4872941,7990,19069
2020-11-24,4872010,8385,19605
2020-11-25,4871285,8901,19814
2020-11-26,4870411,9591,19998
2020-11-27,4869511,9185,21304
2020-11-28,4868776,9920,21304
2020-11-29,4867785,10911,21304
2020-11-30,4867203,9686,23111
