t,S,I,R
2020-03-26,489.9275,0.0525,0.02
2020-04-02,489.8879,0.0449,0.0672
2020-04-09,489.863,0.0462,0.0908
2020-04-16,489.8439,0.0531,0.103
2020-04-23,489.8176,0.0638,0.1186
2020-04-30,489.7888,0.0679,0.1433
2020-05-07,489.7712,0.065,0.1638
2020-05-14,489.7608,0.0372,0.202
2020-05-21,489.7521,0.0307,0.2172
2020-05-28,489.7442,0.0241,0.2317
2020-06-04,489.7368,0.0201,0.2431
2020-06-11,489.7306,0.0183,0.2511
2020-06-18,489.7217,0.019,0.2593
2020-06-25,489.7131,0.0179,0.269
2020-07-02,489.706,0.016,0.278
2020-07-09,489.6972,0.0175,0.2853
2020-07-16,489.683,0.0192,0.2978
2020-07-23,489.6608,0.0304,0.3088
2020-07-30,489.6409,0.0242,0.3349
2020-08-06,489.6119,0.0371,0.351
2020-08-13,489.5726,0.0578,0.3696
2020-08-20,489.5175,0.078,0.4045
2020-08-27,489.4628,0.0915,0.4457
2020-09-03,489.3959,0.1187,0.4854
2020-09-10,489.317,0.1427,0.5403
2020-09-17,489.2337,0.1724,0.5939
2020-09-24,489.1457,0.1397,0.7146
2020-10-01,489.078,0.129,0.793
2020-10-08,488.9934,0.1423,0.8643
2020-10-15,488.8966,0.1527,0.9507
2020-10-22,488.7669,0.1961,1.037
2020-10-29,488.5891,0.2399,1.171
2020-11-05,488.344,0.3481,1.3079
2020-11-12,487.9632,0.5991,1.4377
2020-11-19,487.5042,0.7431,1.7527
2020-11-26,487.0027,0.9591,2.0382
