t,S,I,R
2021-03-19,4809214,5287,85499
2021-03-20,4808658,5843,85499
2021-03-21,4808060,6441,85499
2021-03-22,4807429,5388,87183
2021-03-23,4806747,5508,87745
2021-03-24,4806031,5671,88298
2021-03-25,4805231,5972,88797
2021-03-26,4804323,6362,89315
2021-03-27,4803387,7295,89318
2021-03-28,4802582,8099,89319
2021-03-29,4801805,7018,91177
2021-03-30,4800965,7179,91856
2021-03-31,4799952,7524,92524
2021-04-01,4799120,7685,93195
2021-04-02,4798046,8759,93195
2021-04-03,4796969,9836,93195
2021-04-04,4795970,10835,93195
2021-04-05,4795080,8628,96292
2021-04-06,4794012,8808,97180
2021-04-07,4793015,8868,98117
2021-04-08,4791722,9323,98955
2021-04-09,4790460,9709,99831
2021-04-10,4790460,9709,99831
