ABC,MCMC,SMC
0.126681,1.613525,0.79118
0.104602,1.568618,0.804765
0.130322,1.53564,0.792533
0.130438,1.540407,0.816747
0.099363,1.552291,0.821298
0.105348,1.532005,0.814457
0.102745,1.551595,0.819446
0.100213,1.610615,0.790453
0.100637,1.560891,0.794033
0.135745,1.553752,0.871936
0.130838,1.565711,0.795838
0.130411,1.622269,0.847613
0.102069,1.590771,0.843548
0.108959,1.595001,0.83584
0.10154,1.54151,0.817704
0.106521,1.60203,0.80717
0.101202,1.637608,0.795048
0.10155,1.568912,0.794752
0.132971,1.584399,0.795921
0.131216,1.560431,0.824925
0.099513,1.612297,0.849045
0.105073,1.55706,0.816454
0.101099,1.549966,0.825744
0.100779,1.554773,0.81796
0.10134,1.544418,0.815467
0.10455,1.60676,0.786345
0.100516,1.57256,0.796931
0.131296,1.58553,0.810132
0.137371,1.562535,0.808217
0.133705,1.594552,0.806834
0.131734,1.599214,0.858397
0.104564,1.651403,0.840887
0.10269,1.608755,0.833517
0.101676,1.62044,1.01454
0.171089,1.685366,0.84676
0.10062,1.52451,0.814264
0.101033,1.566967,0.825673
0.101938,1.597296,0.787347
0.100842,1.600516,0.787652
0.10062,1.595209,0.787311
0.131756,1.549247,0.806346
0.147194,1.586441,0.787897
0.130369,1.616877,0.781884
0.131653,1.545126,0.784636
0.130492,1.5431,0.81626
0.099808,1.521641,0.81647
0.100823,1.531226,0.811164
0.101324,1.528635,0.811735
0.101132,1.534099,0.814772
0.101595,1.564511,0.810394
0.100551,1.524983,0.815078
0.101088,1.585071,0.813842
0.100334,1.500744,0.815024
0.100872,1.626165,0.814092
0.101032,1.543889,0.811415
0.101129,1.526931,0.812416
0.101137,1.533774,0.812525
0.101064,1.583611,0.787583
0.100072,1.544957,0.785101
0.100981,1.578138,0.785907
0.100687,1.561311,0.785963
0.101762,1.566267,0.784242
0.100508,1.584639,0.782951
0.101032,1.583821,0.863846
0.102764,1.541878,0.781615
0.101186,1.537408,0.781499
0.101057,1.57943,0.782791
0.132859,1.533048,0.783152
0.1321,1.549279,0.783884
0.132595,1.533159,0.787107
0.132445,1.541485,0.788971
0.131976,1.535901,0.78368
0.131924,1.526662,0.785147
0.131382,1.522314,0.78423
0.131003,1.559924,0.86296
0.132406,1.539236,0.783794
0.130963,1.519086,0.782487
0.10023,1.582368,0.784911
0.100149,1.570274,0.791655
0.100299,1.557029,0.780121
0.101029,1.570142,0.783905
0.100767,1.575661,0.782847
0.100807,1.580427,0.786691
0.100644,1.545692,0.783942
0.100376,1.55863,0.779148
0.100704,1.605976,0.803989
0.101556,1.476282,0.845397
0.100587,1.535584,0.812
0.100835,1.564517,0.813246
0.100056,1.549381,0.810954
0.101223,1.564092,0.81716
0.100925,1.535789,0.808134
0.101316,1.548543,0.808464
0.100404,1.548504,0.812835
0.101476,1.521886,0.817751
0.101706,1.524418,0.825861
0.101458,1.619273,0.81486
0.100801,1.529254,0.814302
0.099518,1.501481,0.788159
0.132033,1.735341,0.92635
0.135144,1.828722,0.815617
0.134472,1.607517,0.834769
0.138011,1.793854,0.789681
0.134021,1.53555,0.785466
0.100216,1.546423,0.783068
0.101852,1.557996,0.790044
0.101876,1.538865,0.817282
0.100459,1.607097,0.814479
0.101505,1.528214,0.813579
0.10144,1.560036,0.813103
0.100698,1.591529,0.811565
0.101565,1.516225,0.813948
0.100454,1.535005,0.785936
0.131761,1.527777,0.783323
0.131208,1.54964,0.790144
0.13022,1.520228,0.782011
0.131834,1.523178,0.787234
0.10019,1.541801,0.780793
0.100569,1.611006,0.816912
0.101584,1.562267,0.813786
0.101421,1.533474,0.813093
0.101099,1.507946,0.815463
